time;fAbs;fno;ev;az;ra;dec
0.00;0;34;20.8862475;258.3574394;58.6770137;-13.6827763
0.07;1;35;20.6801005;258.4268142;58.4690323;-13.6062627
0.13;2;36;20.1787835;258.4499940;57.9555018;-13.5550994
0.20;3;37;19.8786441;258.5030652;57.6504889;-13.4871103
0.27;4;38;19.5086414;258.5652910;57.2745603;-13.4055402
0.33;5;39;19.1559696;258.5147759;56.9095993;-13.4305519
0.40;6;40;18.8864321;258.5059519;56.6325180;-13.4213324
0.47;7;41;18.6257937;258.5600691;56.3686822;-13.3529193
0.53;8;42;18.2336355;258.6279254;55.9711323;-13.2620347
0.60;9;43;17.8690770;258.7350653;55.6049223;-13.1349073
0.67;10;44;17.5623747;258.7040615;55.2886129;-13.1424250
0.73;11;45;17.2123968;258.7461762;54.9332336;-13.0768312
0.80;12;46;16.9369269;258.7689465;54.6528963;-13.0346542
0.87;13;47;16.6086001;258.7923238;54.3186209;-12.9875028
0.93;14;48;16.3239752;258.8245328;54.0298620;-12.9347929
1.00;15;49;15.9716870;258.8511126;53.6716059;-12.8817229
1.07;16;50;15.6783414;258.9041302;53.3758699;-12.8074531
1.13;17;51;15.3575373;258.9113404;53.0485669;-12.7744802
1.20;18;52;15.0559841;258.9380659;52.7426261;-12.7239025
1.27;19;53;14.7436087;258.9437473;52.4240032;-12.6922660
1.33;20;54;14.4521296;258.9775567;52.1291896;-12.6348845
1.40;21;55;14.1261473;259.0050031;51.7987537;-12.5802402
1.47;22;56;13.8515161;259.0455172;51.5220135;-12.5170110
1.53;23;57;13.5044553;259.0715668;51.1702571;-12.4609261
1.60;24;58;13.2588813;259.0920167;50.9216408;-12.4189664
1.67;25;59;12.9640711;259.1238141;50.6239563;-12.3612096
1.73;26;60;12.7126464;259.1999412;50.3747463;-12.2640393
1.80;27;61;12.3829063;259.1795847;50.0368921;-12.2529172
1.87;28;62;12.1297513;259.1701905;49.7781189;-12.2380646
1.93;29;63;11.8209721;259.1771079;49.4642983;-12.2017423
2.00;30;64;11.5878274;259.2948064;49.2383900;-12.0644132
2.07;31;65;11.2980775;259.2808836;48.9421653;-12.0495513
2.13;32;66;11.0218749;259.2708161;48.6601399;-12.0319892
2.20;33;67;10.7276105;259.2891790;48.3626551;-11.9845529
2.27;34;68;10.4989316;259.3127284;48.1324976;-11.9383718
2.33;35;69;10.1643013;259.4358979;47.8050553;-11.7835450
2.40;36;70;9.9164592;259.4667972;47.5564934;-11.7275722
2.47;37;71;9.6906094;259.4091538;47.3210132;-11.7604487
2.53;38;72;9.4471767;259.4095163;47.0737940;-11.7344539
2.60;39;73;9.1774148;259.4481372;46.8040046;-11.6678847
2.67;40;74;8.8824441;259.4765685;46.5076619;-11.6082950
2.73;41;75;8.7077270;259.4782725;46.3305372;-11.5877086
2.80;42;76;8.4859525;259.4591923;46.1034000;-11.5823049
2.87;43;77;8.2361295;259.5027692;45.8547885;-11.5120249
2.93;44;78;7.9730076;259.5600625;45.5943706;-11.4265014
3.00;45;79;7.6709200;259.5863252;45.2911097;-11.3668545
3.07;46;80;7.4628451;259.5968592;45.0814397;-11.3330119
3.13;47;81;7.3177566;259.6326666;44.9385421;-11.2812732
3.20;48;82;7.0608793;259.6413423;44.6793355;-11.2433957
3.27;49;83;6.8998561;259.7227824;44.5257507;-11.1445842
3.33;50;84;6.6566729;259.6339335;44.2691312;-11.2040983
3.40;51;85;6.4118589;259.6750898;44.0261404;-11.1349835
3.47;52;86;6.2384911;259.6903620;43.8524871;-11.0995929
3.53;53;87;6.0407229;259.7370779;43.6579551;-11.0301604
3.60;54;88;5.8983928;259.6428319;43.5026393;-11.1063850
3.67;55;89;5.8196042;259.7259144;43.4329286;-11.0149645
3.73;56;90;5.8501986;259.9096597;43.4860245;-10.8371120
